"rank","name","country","starting_number","total_segment_score","total_element_score","total_component_score","deductions","type","category","base_value","highlight","goe","factor","j1","j2","j3","j4","j5","j6","j7","j8","j9","scores_of_panel"
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,NA,"ee","2A",3.5,0,0.8,NA,"1","1","1","1","1","0","1","0","1",4.3
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,NA,"ee","SpSq3",3.1,0,0.6,NA,"0","0.5","1","0.5","0.5","0","0.5","0.5","1",3.7
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,NA,"ee","SlSt2",2.3,0,0.5,NA,"0.5","0.5","0.5","0.5","0.5","0","0.5","0.5","0.5",2.8
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,NA,"ee","CCoSp4",3.5,0,-0.12,NA,"0","0","0","-0.3","0","-0.3","0","-0.3","0",3.38
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,NA,"pc","Skating Skills",NA,NA,NA,0.8,"7.25","8.00","7.00","7.25","7.25","6.75","7.00","6.75","7.75",7.2
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,NA,"pc","Transitions / Linking Footwork",NA,NA,NA,0.8,"6.75","7.75","6.75","6.50","7.00","6.75","7.25","6.50","7.00",6.8
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,NA,"pc","Performance / Execution",NA,NA,NA,0.8,"7.25","7.75","7.00","7.25","7.50","6.75","7.50","7.00","7.50",7.25
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,NA,"pc","Choreography / Composition",NA,NA,NA,0.8,"7.00","7.50","7.00","7.00","7.25","7.00","7.25","6.75","7.50",7.15
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,NA,"pc","Interpretation",NA,NA,NA,0.8,"7.25","7.75","6.75","7.00","7.25","7.00","7.00","7.00","7.75",7.2
10,",LEPISTO Laura","FIN",21,61.36,32.88,28.48,0,"ded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,",SUZUKI Akiko","JPN",24,61.02,33.1,27.92,NA,"ee","3F",5.5,0,-2.2,NA,"-2","-2","-3","-3","-2","-2","-2","-2","-2",3.3
11,",SUZUKI Akiko","JPN",24,61.02,33.1,27.92,NA,"ee","3Lo+2T",6.3,0,0.4,NA,"0","0","0","1","0","0","1","1","1",6.7
11,",SUZUKI Akiko","JPN",24,61.02,33.1,27.92,NA,"ee","FCSp4",3.2,0,0.2,NA,"0.5","0.5","-0.6","0","0","0.5","0.5","0","0.5",3.4
11,",SUZUKI Akiko","JPN",24,61.02,33.1,27.92,NA,"ee","SpSq4",3.4,0,1,NA,"1","1","1","1","1","1","1","0","1",4.4
11,",SUZUKI Akiko","JPN",24,61.02,33.1,27.92,NA,"ee","2A",3.5,0,1,NA,"1","0","1","1","1","1","2","1","1",4.5
11,",SUZUKI Akiko","JPN",24,61.02,33.1,27.92,NA,"ee","LSp4",2.7,0,0.6,NA,"0.5","0.5","0.5","1","0.5","0.5","0.5","0.5","1",3.3
11,",SUZUKI Akiko","JPN",24,61.02,33.1,27.92,NA,"ee","SlSt3",3.3,0,0.8,NA,"1","0.5","1","1","0.5","1","1","1","0.5",4.1
11,",SUZUKI Akiko","JPN",24,61.02,33.1,27.92,NA,"ee","CCoSp3",3,0,0.4,NA,"1","0.5","0.5","0","0.5","0.5","0.5","0","0.5",3.4
